ID#;dialog
700246;I found what you wrote in the Daily Prophet very moving, sir.  I take it you knew Professor Dumbledore well?
700247;I certainly knew him the longest, if you don't count his brother Aberforth -- and somehow, people never do seem to count Aberforth.
700248;I never even knew he had a brother, sir.
700249;Yes, well, Dumbledore was always very private.  Even as a boy.
700250;Sir, I was wondering if you'd had much contact with him before he died.
700251;The occasional owl.  Though it was strange...
700252;Strange, sir?
700253;It was the owls themselves.  They often arrived in distress.  It was clear they'd traveled great distances in some cases.
700254;Could you tell me from where they'd come, sir?
700255;I'm afraid not.  Albus' messages mostly referenced our days together as schoolboys.  They were surprisingly intimate.  When he did speak of his current activities his words would turn elliptical.  Still, I sensed he was under great stress.  Why do you ask?
700256;Just curious.  I was... close to Professor Dumbledore.
700257;Well, he treasured you, Mr. Potter, I can attest to that.  I can also tell you that when a person passes, it's only natural to rue the things left unsaid, to regret the question never asked. I knew Albus nigh on 100 years, but in many ways he will always remain a riddle even to me.
700258;Don't despair, Elphias.  I'm told he's been thoroughly unriddled by Rita Skeeter.  In 800 pages no less.
700259;That woman is a vulture, Muriel, and you well know it.
700260;Someone has to pick the bones to get at the truth.  I read your obituary, Elphias.  Lovely.  But you did skate over some of the sticky patches in Dumbledore's life.
700261;I'm sorry you think so, Muriel.  I assure you I was writing from the heart.
700262;Yes, well, Rita Skeeter hasn't made that mistake, I'm sure.  Word has it someone talked to her, someone who knew the Dumbledore family well.  You and I both know who that is, Elphias.
700263;A monstrous betrayal.  I can only conclude the rumors are true and that she has become untethered.
700264;Who are you talking about?
700265;Well, I don't suppose it'll be a secret once the book comes out. Bathilda Bagshot.
700266;Who?
700267;Who? Bathilda Bagshot!  My god, boy, she's only the most celebrated magical historian of the last century.  Don't they read History of Magic at Hogwarts anymore?
700268;Oh, right.  Slipped my mind...
700269;She knew the Dumbledores as well as anyone.  She'd have letters, perhaps an interesting photograph or two.  I'm sure Rita Skeeter would have thought it well worth a trip to Godric's Hollow to take a peek into that old bird's rattled cage.
700270;Godric's Hollow?  Bathilda Bagshot lives in Godric's Hollow?
700271;For years now.  That's where she first met Dumbledore.
700272;Excuse me?  You don't mean to say Dumbledore lived there too?
700273;Of course.  The family moved there after his father killed those three Muggles.  It was quite the scandal. Honestly, my boy, are you sure you knew him at all?
700274;The Ministry has fallen.  The Minister of Magic is dead.  They are coming...
700275;Nice meeting you, Mr. Potter!
700276;Ron!  Ron!
700277;Harry!  Go!  Go!
700278;Where are we?
